"","X","society_id","society_name","society_xd_id","language_glottocode","language_name","language_family","variable_id","code","code_label","focal_year","sub_case","comment"
"1",1,"Cc3","Siwans","xd500","siwi1239","Siwi","Afro-Asiatic","MonthlyMeanPrecipitation",2410.032617,NA,NA,NA,NA
"2",2,"Cd2","Egyptians","xd518","egyp1253","Egyptian Arabic","Afro-Asiatic","MonthlyMeanPrecipitation",2906.474282,NA,NA,NA,NA
"3",3,"SCCS43","Egyptians","xd518","egyp1253","Egyptian Arabic","Afro-Asiatic","MonthlyMeanPrecipitation",2906.474282,NA,NA,NA,NA
"4",4,"Cc17","Delim","xd495","hass1238","Hassaniyya","Afro-Asiatic","MonthlyMeanPrecipitation",3125.531863,NA,NA,NA,NA
"5",5,"Cd13","Hamama","xd511","sout3114","South-Western Tunisian","Afro-Asiatic","MonthlyMeanPrecipitation",3220.744021,NA,NA,NA,NA
"6",6,"Cc1","Regeibat","xd487","hass1238","Hassaniyya","Afro-Asiatic","MonthlyMeanPrecipitation",3431.421984,NA,NA,NA,NA
"7",7,"Cd18","Saadi","xd516","said1239","Saidi Arabic","Afro-Asiatic","MonthlyMeanPrecipitation",3524.985005,NA,NA,NA,NA
"8",8,"Cd6","Ancient Egyptians","xd524","egyp1246","Egyptian (Ancient)","Afro-Asiatic","MonthlyMeanPrecipitation",3826.516988,NA,NA,NA,NA
"9",9,"Cd1","Barabra","xd507","kenu1236","Kenuzi-Dongola","Nubian","MonthlyMeanPrecipitation",3922.204634,NA,NA,NA,NA
"10",10,"Cd12","Algerians","xd510","algi1247","Algiers","Afro-Asiatic","MonthlyMeanPrecipitation",4188.006955,NA,NA,NA,NA
"11",11,"Ca34","Ababda","xd442","abab1239","Ababda","Afro-Asiatic","MonthlyMeanPrecipitation",4283.925756,NA,NA,NA,NA
"12",12,"Cc7","Barabish","xd504","hass1238","Hassaniyya","Afro-Asiatic","MonthlyMeanPrecipitation",4431.068762,NA,NA,NA,NA
"13",13,"Cc11","Azjer","xd489","ghat1242","Ghat","Afro-Asiatic","MonthlyMeanPrecipitation",4451.64317,NA,NA,NA,NA
"14",14,"Cd11","Guanche","xd509","guan1277","Guanche","Afro-Asiatic","MonthlyMeanPrecipitation",4607.254854,NA,NA,NA,NA
"15",15,"Cd5","Shluh","xd523","susi1238","Susiua","Afro-Asiatic","MonthlyMeanPrecipitation",4976.777975,NA,NA,NA,NA
"16",16,"Cc2","Teda","xd498","teda1241","Tedaga","Saharan","MonthlyMeanPrecipitation",5033.014522,NA,NA,NA,NA
"17",17,"Ea6","Basseri","xd605","bass1257","Basseri","Indo-European","MonthlyMeanPrecipitation",5111.668628,NA,NA,NA,NA
"18",18,"Cd9","Tekna","xd527","hass1238","Hassaniyya","Afro-Asiatic","MonthlyMeanPrecipitation",5417.620858,NA,NA,NA,NA
"19",19,"SCCS40","Teda","xd498","teda1241","Tedaga","Saharan","MonthlyMeanPrecipitation",5593.443941,NA,NA,NA,NA
"20",20,"Cc9","Tuareg Ahaggar","xd506","hogg1238","Hoggar","Afro-Asiatic","MonthlyMeanPrecipitation",5661.322682,NA,NA,NA,NA
"21",21,"SCCS41","Tuareg Ahaggar","xd506","hogg1238","Hoggar","Afro-Asiatic","MonthlyMeanPrecipitation",5723.953973,NA,NA,NA,NA
"22",22,"Cc19","Trarza","xd497","hass1238","Hassaniyya","Afro-Asiatic","MonthlyMeanPrecipitation",5771.460649,NA,NA,NA,NA
"23",23,"Ci11","Kurd","xd576","cent1972","Central Kurdish","Indo-European","MonthlyMeanPrecipitation",5934.002198,NA,NA,NA,NA
"24",24,"Cc16","Chaambra","xd494","algi1247","Algiers","Afro-Asiatic","MonthlyMeanPrecipitation",5977.83614,NA,NA,NA,NA
"25",25,"Cd20","Sanusi","xd519","liby1240","Libyan Arabic","Afro-Asiatic","MonthlyMeanPrecipitation",6402.920936,NA,NA,NA,NA
"26",26,"SCCS39","Barabra","xd507","kenu1236","Kenuzi-Dongola","Nubian","MonthlyMeanPrecipitation",6403.366568,NA,NA,NA,NA
"27",27,"Cj4","Babylonians","xd590","akka1240","Akkadian","Afro-Asiatic","MonthlyMeanPrecipitation",6990.327135,NA,NA,NA,NA
"28",28,"Cj5","Mutair","xd591","sout3119","South Najdi","Afro-Asiatic","MonthlyMeanPrecipitation",7087.583723,NA,NA,NA,NA
