society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ah28,Chamba,xd318,samb1305,Samba Leko,Atlantic-Congo,MonthlyMeanPrecipitation,132061.9328,,,,
Ah29,Daka,xd319,samb1311,Samba Daka,Atlantic-Congo,MonthlyMeanPrecipitation,132061.9328,,,,
SCCS60,Madia,xd679,mari1414,Maria (India),Dravidian,MonthlyMeanPrecipitation,132169.3164,,,,
Ac28,Luimbe,xd53,luim1238,Luimbi,Atlantic-Congo,MonthlyMeanPrecipitation,132495.1568,,,,
Ed13,Ishigakians,xd640,yaey1239,Yaeyama,Japonic,MonthlyMeanPrecipitation,132604.2032,,,,
Si2,Trumai,xd1399,trum1247,Trumai,,MonthlyMeanPrecipitation,132862.0059,,,,
SCCS117,Japanese,xd648,nucl1643,Japanese,Japonic,MonthlyMeanPrecipitation,132984.2437,,,,
SCCS51,Irish,xd543,iris1253,Irish,Indo-European,MonthlyMeanPrecipitation,132987.1573,,,,
Eg2,Tamil,xd678,tami1289,Tamil,Dravidian,MonthlyMeanPrecipitation,133062.336,,,,
Si5,Kamayurá,xd1402,kama1373,Kamayurá,Tupian,MonthlyMeanPrecipitation,133138.7656,,,,
Si9,Aweti,xd1406,awet1244,Awetí,Tupian,MonthlyMeanPrecipitation,133138.7656,,,,
Af30,Igala,xd209,igal1242,Igala,Atlantic-Congo,MonthlyMeanPrecipitation,133354.6912,,,,
Ii12,Tongans,xd878,tong1325,Tonga (Tonga Islands),Austronesian,MonthlyMeanPrecipitation,133436.2433,,,,
Nc8,Klamath,xd1139,klam1254,Klamath-Modoc,,MonthlyMeanPrecipitation,133841.3102,,,,
SCCS138,Klamath,xd1139,klam1254,Klamath-Modoc,,MonthlyMeanPrecipitation,133841.3102,,,,
B97,Anindilyagwa,xd776,anin1240,Anindilyakwa,Gunwinyguan,MonthlyMeanPrecipitation,134032.6773,,,,
Ac18,Sundi,xd42,koon1244,South-Central Kikongo,Atlantic-Congo,MonthlyMeanPrecipitation,134133.8354,,,,
SCCS3,Tsonga,xd27,tson1249,Tsonga,Atlantic-Congo,MonthlyMeanPrecipitation,134197.5831,,,,
Aj3,Nuer,xd406,nuer1246,Nuer,Nilotic,MonthlyMeanPrecipitation,134237.6663,,,,
Ca30,Kafa,xd438,kafa1242,Kafa,Ta-Ne-Omotic,MonthlyMeanPrecipitation,134488.7014,,,,
Ca42,Shako,xd451,shek1245,Sheko,Dizoid,MonthlyMeanPrecipitation,134488.7014,,,,
Ej4,Annamese,xd726,viet1252,Vietnamese,Austroasiatic,MonthlyMeanPrecipitation,134509.7213,,,,
Af21,Ijaw,xd199,kala1381,Kalabari,Ijoid,MonthlyMeanPrecipitation,134586.7109,,,,
Ae14,Ha,xd132,haaa1252,Ha,Atlantic-Congo,MonthlyMeanPrecipitation,135040.0948,,,,
Af27,Eloyi,xd205,eloy1241,Eloyi,Atlantic-Congo,MonthlyMeanPrecipitation,135403.6151,,,,
Af50,Dan,xd231,gwee1242,Gweetaawu,Mande,MonthlyMeanPrecipitation,135403.6151,,,,
Ah11,Basa,xd300,basa1282,Basa (Nigeria),Atlantic-Congo,MonthlyMeanPrecipitation,135403.6151,,,,
Eg13,Muria Gond,xd676,west2408,Western Muria,Dravidian,MonthlyMeanPrecipitation,135592.8896,,,,
Sg5,Alacaluf,xd1387,qawa1238,Qawasqar,Kawesqar,MonthlyMeanPrecipitation,135790.8889,,,,
Af51,Gagu,xd232,gagu1242,Gban,Mande,MonthlyMeanPrecipitation,135975.5264,,,,
Af52,Guro,xd233,guro1248,Guro,Mande,MonthlyMeanPrecipitation,135975.5264,,,,
